,MSE,SSIM,PSNR
fbp,0.010624442785308476,0.3424847785044866,22.970150871064295
tv,0.0013816134573584416,0.8394257486243637,27.546982878333694
fbp_resnet,[0.00083777],[0.86701997],31.19942043650439
tv_resnet,[0.00066215],[0.93494819],31.90574162133722
fbp_nsn,[0.00304429],[0.49365177],26.973059843377413
tv_nsn,[0.00075185],[0.86230681],31.50558126443454
tv_dpnsn,[0.00062349],[0.93857121],32.16280342070769
