,MSE,SSIM,PSNR
fbp,0.01167728234842053,0.32601904672509563,22.27368031694573
tv,0.0015790503040874577,0.8105544435423184,26.34109863857232
fbp_resnet,0.0009410415445762672,0.8517352654386308,30.53399095160179
tv_resnet,0.0005938354902533855,0.9280490491947361,31.455518463099317
fbp_nsn,0.0031689846614780517,0.4600662750695994,26.035669633484293
tv_nsn,0.0008017609291448881,0.8391232783537327,30.41631080103127
tv_dpnsn,0.0005733664879196039,0.9294223359484741,31.576140584003326
